,Title,Company,Description,Link
0,Data Science Quant Developer | 2019 Grad,Liquidnet,"With the acquisition of OTAS Technologies in 2017 and our continued global evolution, Liquidnet is expanding its technology and quant team to build disruptive new products to further revolutionize trading and investing. Our products are used by the largest investment firms globally, and we are recognised as an industry-leading innovator in big data analytics, AI and machine learning.

We are a dynamic, technology-driven, and highly productive team of quants, developers and product designers. Deep collaboration with our clients and partners is key, and we benefit from great relationships with the most ground-breaking firms in the asset management industry, who help us to constantly push the limits of technology and analytics.

We a proven track record of hiring amazing people and giving them (industry veterans and recent grads alike) autonomy and responsibility from the start, you’ll have the best tools and resources available to get the job done. and thrive in a collaborative environment where our teams are passionate about building great things.
The right candidate is a hybrid at core and will have both a strong mathematical background, and be highly adept technologically.

What you’ll tackle:
Analyse unique proprietary datasets.
Create, evaluate, and enhance mathematical models and streaming analytics pipelines.
Partner globally with other data scientists, quants, developers, product designers, clients and industry leaders to deliver creative solutions to the important problems faced by the world’s largest asset managers.

Who you are:
A recent or soon to be grad with a Bachelor’s degree in Computer Science, Mathematics or related technical focus, with the ability to start FT employment by July 2019.
You have strong, relevant internship experience.
Are proficient in a mainstream programming language, such as Python, C/C++, C#, Java, JavaScript, Haskell or similar.
Possess a solid foundation in a STEM/numeric discipline.
Are familiar with software development practices such as version control (git), test frameworks, code review tools, deployment configuration management, continuous integration.
Experience with machine learning libraries/frameworks and methods.
Excellent communication skills and team orientation.",https://www.indeed.com/jobs?q=Data+Science&l=New+York%2C+NY
1,DATA SCIENCE -INTERN,"Foot Locker, Inc.","OVERVIEW
Foot Locker, Inc. is the world’s leading retailer of athletically inspired footwear and apparel. Our brands include Foot Locker, Kids Foot Locker, Lady Foot Locker, Eastbay, Champs Sports, Footaction, and SIX:02. We are at the heart of the sport and sneaker community. We work to inspire and empower youth culture every day and make it our mission to fuel a shared passion for self-expression.

Foot Locker offers paid internships at our corporate locations in New York, NY, Camp Hill, PA, Bradenton, FL, Wausau, WI, Milwaukee, WI, Chicago, IL, and Junction City, KS. As an Intern you will learn about the retail and ecommerce industry; participate in a collaborative business project, volunteer opportunities, and corporate training. Be a part of the team that leads innovation in the athletic ecommerce industry and wear cool kicks to work every day!
RESPONSIBILITIES
The Data Science Intern will work with leading data scientists and other analysts in the high-end retail fashion area. The intern will collaborate with other members of the data team to discover insights, causalities, create predictive models, machine-learning algorithms and other transformational initiatives at Foot Locker. The intern will also work on solving business problems by generating insights using data analysis.
Familiarity with latest tools and techniques required to perform tasks like: exploratory data discoveries, data science research, data mining, building data products, and communicating findings to key stakeholders
Some exposure to data product development, qualitative & quantitative research techniques, predictive and prescriptive modeling techniques, machine learning, deep learning, AI, complex data movement and cleansing, API based integration, Restful API – all at web scales
Acts as a student of the business by partnering with them to help determine current and on-going needs by gaining further knowledge into their processes
Strong understanding of agile delivery
Reliable and consistent ability to deliver on commitments that he/she makes
Maintain a reasonable amount of documentation to improve quality and reduce risk
A desire to constantly learn.

QUALIFICATIONS
To qualify for an internship with Foot Locker, individuals must:
Be a junior or senior in college, or a Spring 2019 graduate
Currently enrolled in Masters Degree or PhD. in a science, math, engineering, computer science or otherwise research-based field
Arrange the internship with the educational institution on a for-credit basis, if necessary.
Schedule according to the following business hours: Summer internship hours are Monday-Friday (40 hours/week). Internships begin on June 3, 2019 and end August 16, 2019. Any exceptions will be reviewed on a case-by-case basis.
COMMUNICATION SKILLS
The candidate must be able to communicate with others in a simple, clear, and understandable manner. Must also have the ability to read and interpret all forms of communication. The ability to write reports for management and professional correspondence, as well as to speak effectively before peers, management, customers, and other associates of the organization is required.

REASONING ABILITY
The candidate must effectively plan and execute unusual and difficult work. Takes initiative and is decisive and quick, when appropriate, all while adhering to the team’s standards and patterns and practices. Must have the ability to solve intermediate to complex problems and deal with ambiguity where only limited standardization exists. Ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form. Deals constructively with conflict and disagreement.

PHYSICAL DEMANDS
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

WORK ENVIRONMENT
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
BENEFITS
Casual dress environment
Employee discount
Volunteer opportunities
Onsite learning & development opportunities",https://www.indeed.com/jobs?q=Data+Science&l=New+York%2C+NY
2,"Data Science Internship, Summer 2019",Etsy,"Etsy is looking for Data Science Interns to join our Data Science team in Brooklyn, New York. We are committed to advancing the fields around E-commerce by building technologies to help understand our customers and the world. We are seeking individuals passionate in areas such as Machine Learning, Data Mining, Recommender Systems, Information Retrieval, Natural Language Processing, Computational Advertising, Deep Learning and Computer Vision.
Our interns have a chance to create core algorithmic advances and apply their ideas in the dynamic world of E-commerce. Interns could publish their innovations at top tier conferences such as KDD, NIPS, ICML, ICLR, CVPR, ICCV, WWW, WSDM, SIGIR and etc.
This position is to be based in Brooklyn, New York.
About the Role
Recommendation and Personalization
Natural Language Processing and Query Understanding
Image Processing and Understanding
Text Understanding
Ranking for Search and Ads
Fraud and Abuse Detection
Large-scale Machine Learning
About You
Curiosity and modesty. We are dedicated to learning and constantly improving. We hope you also value things like blamelesspostmortems and have a natural aim to determine how everything works.
Keeping it real. Etsy’s mission and values are a part of everything we do. We care about how our work affects real people in the community and enjoy opportunities to meet them. We are motivated by this mission every single day.
Please note: Resumes without a cover letter will not be considered.

Interested in working with us? Send us a cover letter and your resume explaining why you’d be great for the job. We value your unique talents and point of view, so feel free to tell us what you are all about. And if you write, draw, craft, or contribute to something you’re proud of, we’d love to hear about it.

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status.",https://www.indeed.com/jobs?q=Data+Science&l=New+York%2C+NY
3,"Internships, Data Strategy/Data Science- Summer '19",Viacom,"Overview
Please note: these departments primarily hire Master's Students. If you're an undergrad student interested in research, please check out our Research application.

Data Science is responsible for all data science and analytic products that serve Viacom with the goal of placing the networks on the leading edge of advanced analytics in the entertainment industry. Through access to linear and digital data, these teams identify, develop and implement appropriate statistical and data mining analysis to address business challenges across the organization, as well as provide actionable insights with a clear impact on return on investment (ROI).

Data Strategy aids various internal clients in making data-driven strategic decisions. This involves evaluating the effectiveness of previous branded campaigns and learning from the actions Viacom and our competitors have done in the past to craft better campaigns. These teams also help facilitate the acquisition of new data sources with various vendors and streamline data workflow across departments to elevate the utility of data. They use data at a campaign-level, audience-level and post-level to determine data-driven insights for future engagements.",https://www.indeed.com/jobs?q=Data+Science&l=New+York%2C+NY
4,Data Science Analyst - Genetics and Genomic Sciences,Mount Sinai Health System,"Strength Through Diversity
Ground breaking science. Advancing medicine. Healing made personal.
Role and Responsibilities:
The Icahn Institute for Genomics & Multiscale Biology is looking for talented data scientists with the responsibilities and qualifications listed below. At the Icahn Institute, our vision is to transform biomedical research and healthcare delivery into a data-driven, evidence-based, patient-tailored discipline. The Icahn Institute was founded in 2011 to help advance precision medicine with cutting-edge technologies, novel partnerships between the public and private sectors, and world class computational and analytical resources. By maximally leveraging information from patients around the world, we deliver premier precision care optimized for each patient, while discovering breakthrough, next-generation treatments through insights derived from cutting-edge analytics applied to unprecedented amounts of patient-derived data.
We promote a core set of values – designed to promote our future vision of team-oriented, data driven global biomedical research: 1) Do good for the patient, 2) Simplify, 3) Share openly, 4) Focus, 5) Synergize, 6) Contributions, not politics, and 7) Deliver.
Data Scientists at Mount Sinai work with clinicians, researchers, and engineers to extract value from data. Effective data science is critical to the success of our research efforts and clinical translation, ensuring we make correct inferences from the vast wealth of biomedical data generated at Mount Sinai and across the world.
Data Scientists may work on many of the cutting-edge research areas at Mount Sinai, including:
Analysis of high throughput genomic, transcriptomic, epigenetic, proteomic, and other ""-omic"" data.
Scalable machine learning approaches to network and predictive models of biological processes
Medical record mining
Causal inference
The ideal candidate will have strong analytical and programming proficiencies and proven expertise in high-dimensional data analysis
Apply computational techniques to analyze large-scale biomedical datasets.
Create data-driven models and data visualizations for clinical and research work
Perform rigorous and reproducible data analyses
Develop projects and work independently on a variety of data analysis projects
Learn and use bioinformatics tools for processing and analysis of large datasets
Identify and resolve technical issues and propose upgrades to current software
Participate in the preparation of manuscripts, grants, and presentations
Other technical and leadership duties as assigned and commensurate with experience and skills
Requirements:
Bachelors, Masters, or Ph.D. in Computer Science, Bioinformatics, Statistics, Biological Sciences, or other relevant quantitative discipline.
Good organization and communication skills, with demonstrated ability to productively work as a member of a team. Strong verbal and written communication skills in English are required
Experience in data science, machine learning, statistical modeling, genomic analysis, or other relevant analytical field
Experience in programming environments such as R, Matlab, SAS, Stata, Python/Jupyter
Working experience with genetics or statistics analysis software and online resources or other biomedical data analysis is a plus
Knowledge and experience with software engineering best practices such as: version control, code review, unit/regression testing, continuous development/continuous integration.
Strength Through Diversity
The Mount Sinai Health System believes that diversity is a driver for excellence. We share a common devotion to delivering exceptional patient care. Yet we’re as diverse as the city we call home- culturally, ethically, in outlook and lifestyle. When you join us, you become a part of Mount Sinai’s unrivaled record of achievement, education and advancement as we revolutionize medicine together.
We work hard to acquire and retain the best people, and to create a welcoming, nurturing work environment where you can develop professionally. We share the belief that all employees, regardless of job title or expertise, can make an impact on quality patient care.
Explore more about this opportunity and how you can help us write a new chapter in our story!
Who We Are
Over 38,000 employees strong, the mission of the Mount Sinai Health System is to provide compassionate patient care with seamless coordination and to advance medicine through unrivaled education, research, and outreach in the many diverse communities we serve.
Formed in September 2013, The Mount Sinai Health System combines the excellence of the Icahn School of Medicine at Mount Sinai with seven premier hospital campuses, including Mount Sinai Beth Israel, Mount Sinai Beth Israel Brooklyn, The Mount Sinai Hospital, Mount Sinai Queens, Mount Sinai West (formerly Mount Sinai Roosevelt), Mount Sinai St. Luke’s, and New York Eye and Ear Infirmary of Mount Sinai.
The Mount Sinai Health System is an equal opportunity employer. We promote recognition and respect for individual and cultural differences, and we work to make our employees feel valued and appreciated, whatever their race, gender, background, or sexual orientation.
EOE Minorities/Women/Disabled/Veterans
Job Type: Full-time
Experience:
STATA: 1 year (Preferred)
Python: 1 year (Preferred)
Programming: 1 year (Preferred)
Data Science: 1 year (Required)
R: 1 year (Preferred)
Education:
Bachelor's (Required)",https://www.indeed.com/jobs?q=Data+Science&l=New+York%2C+NY
5,Music Research Analyst,Nielsen,"Music Research Analyst - 28092
Analytics - USA New York, New York
Imagine working closely with many of the world’s largest entertainment agencies, music labels, brands, and broadcasters worldwide to help them better understand their fans and how they are consuming their content across a multitude of devices and screens.

Nielsen Music is a trusted adviser and partner in consumer intelligence, helping our clients worldwide to maximize their commercial success. With our expansive suite of products and services, Nielsen Entertainment is uniquely positioned to provide insights and intelligence which help drive more effective decision making for clients.

RESEARCH ANALYST, MUSIC

To support our strong growth, Nielsen is seeking a talented market research professional who is interested in making an immediate contribution to our Music Research team. The position will be based out of our New York City office. The role includes the set-up, coordination and delivery of both syndicated and custom marketing research services across music, content streaming, and film/video. Research programs will include fan, brand, and event attendee research. The role involves working with third party agencies, multiple client stakeholders and internal research teams.

TASKS AND RESPONSIBILITIES

Design, coordinate and deliver custom research programs; primarily quantitative, with some qualitative
Manage each stage of the end-to-end research process supporting Nielsen Music clients
Learn about various Nielsen syndicated consumer research products and how to utilize them to deliver superior insights
Collaborate with the sales and client service teams to identify client opportunities and support proposals
Provide support to internal research and efficiency initiatives

SKILLS & QUALIFICATIONS

Bachelor Degree
1-2 years of experience in project management, research execution, data analysis preferred
Ability to support all phases of a research project, including new business proposals, custom research survey design, survey/data QC, data analysis and reporting
Fully competent in utilizing research analytics tools (Excel, PPT, Google G Suite); SPSS is a plus
Excellent collaboration skills, particularly in relation to working in a matrix organization across virtual teams
Energetic self-starter, who will work with minimal supervision and a great deal of flexibility
Ability to prioritize effectively and see multiple projects to a successful conclusion
While this is not a data science role, general understanding of advanced analytics will be an asset

Are you interested in these topics? If you are looking for a challenging and rewarding position, this could be your perfect role – take the chance and apply now!

About Nielsen:
Nielsen N.V. (NYSE: NLSN) is a global performance management company that provides a comprehensive understanding of what consumers Watch and Buy. Nielsen’s Watch segment provides media and advertising clients with Total Audience measurement services across all devices where content — video, audio, and text — is consumed. The Buy segment offers consumer packaged goods manufacturers and retailers the industry’s only global view of retail performance measurement.
By integrating information from its Watch and Buy segments and other data sources, Nielsen provides its clients with both world-class measurement as well as analytics that help improve performance. Nielsen, an S&P 500 company, has operations in over 100 countries that cover more than 90 percent of the world’s population. For more information, visit www.nielsen.com
Nielsen is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class.
Job Type: Regular
Primary Location: New York,New York
Secondary Locations: , , ,
Travel: No",https://www.indeed.com/jobs?q=Data+Science&l=New+York%2C+NY&start=326
6,"Data Engineer, ETL",Marketing Evolution,"Company Overview:


Marketing Evolution has been recognized by Forrester as the industry leader in marketing optimization, due to our big-data, person-centric, decision-making SaaS platform. Marketing Evolution has announced $20.6M in new 2018 funding from top-tier global private equity and venture capital firm. This funding will used to help us continue to lead product innovation focused on customer obsessed marketers. Our award winning platform, the ROI Brain, helps companies fully unlock the power of customer relationships and use insights to make the overall business more effective, efficient, and profitable. Our customers – including many Fortune 500 brands – choose Marketing Evolution because they recognize the value of moving beyond the aggregated and backward-looking limitations of marketing mix and attribution models. Due to very fast growth, we are hiring at all levels; but know that our preference is always to promote from within.

Position Overview
Marketing Evolution provides marketing ROI insights to Fortune 500 companies by aggregating and analyzing vast amount of both public and proprietary data feeds. As a Data Engineer, you will be responsible for building and supporting ETL pipelines to make data consumable by our predictive analytics process.

Design and implement new ETL pipelines based on client business logic.
Optimize and scale existing ETL pipelines.
Develop tools to support ETL platform.
Perform ad-hoc queries to support client teams.
Technologies we use
Python, Spark, AWS, Airflow, Bash, Docker, SQL, Scala, Hive.
Skills and Experience
Required:
Strong communication skills relating technical work to non-technical people.
Bachelor’s degree or higher in a relevant technical field, or comparable work experience.
Competence in Python and SQL.
Working knowledge of Unix systems, such as Fedora, CentOS, Redhat, etc.
Understanding of data quality Best Practices.
Preferred:
Experience working with big data technologies such as Hadoop, Hive, Pig, Spark, Presto, etc.
Experience working in a cloud-based infrastructure, such as Amazon AWS or Cloudera.
Competence in at least one OOP language, such as Java, Scala, C++, etc.
Experience working with NoSQL database technologies such as MongoDB, Cassandra, etc.
Metrics for Success
All employees have annual career growth goals based on their position and core skills/development areas; you’ll receive project-based performance reviews quarterly, and career reviews bi-annually.
Customer satisfaction and the ability to drive large efficiency gains are the most important measures of success.
Marketing Evolution Cultural Values
We seek candidates who are excited to work at a company with the following cultural values:
Disrupt the norm: Cherish the opportunity to find better ways to do things, regardless of how disruptive or initially painful it might be.
Dissent then execute: Raise issues and fixes in the planning stage, but when it’s time to execute, execute diligently and without reservation.
Test and learn: When developing new processes or features, link it to a hypothesis, and evaluate that hypothesis without bias.
Nothing is impossible: Imagine what’s possible and then have the discipline to execute it. One without the other is not valuable.
Defect is treasure: Every mistake is an opportunity for the organization to learn and make improvements.
Share success: Given how hard it is to promote change in our industry, celebrate each success along the way.",https://www.indeed.com/jobs?q=Data+Science&l=New+York%2C+NY&start=326
7,Data Engineer,Comcast,"Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast.
Data EngineerOur New York Data Science team is building critical prototypes that serve our growing business. Our systems serve billions of requests and process terabytes of raw data in a single day. We are looking for problem solvers who embrace challenges with complex requirements and build prototypes that can validate business goals. We need engineers who are ready to make an impact and deliver quality software.Responsibilities: - Work with different teams to design technical data storage and processing solutions- Work with data scientists to create efficient and scalable data pipelines in AWS for data modeling- Design, develop, and test data-driven workflows- Follow updates in different FreeWheel backend components and contribute to the long-term roadmap for FreeWheel's data strategy- Drive the optimization, testing and tooling to improve data quality- Improve performance, availability and scalability of our backend systemsAbout You: - Bachelor's or Master's Degree in Computer Science or similar field of study- 2+ years of experience building large scale big data applications- Skilled with Scala/Hadoop and database general concepts- Proficient with Linux commands and environments- Proficient with 2-3 programming languages including Scala/Python. Fast to pick up new languages- Hands-on experiences with data processing or analysis systems is strongly preferred- Experiences With Hadoop/Spark/Kafka/Presto/etc. are Strongly Preferred.- Experiences with AWS or other Cloud technology are strongly preferred- Known for being a smart, analytical thinker who approaches their work with logic and enthusiasm- Detail oriented, flexible and can work well in a global team-oriented environment
Comcast is an EOE/Veterans/Disabled/LGBT employer",https://www.indeed.com/jobs?q=Data+Science&l=New+York%2C+NY&start=326
8,"Full-time Research Engineer at the NYU Visualization, Imaging and Data Analysis (VIDA) Center",New York University,"New York University: NYU - Domestic: Tandon School of Engineering
Location
Brooklyn, New York
Open Date
Oct 9, 2018
Description
The NYU Visualization, Imaging and Data Analysis (VIDA) Center invites applications for a Research Engineer position for candidates with a
strong background in machine learning and excellent systems-building skills. Successful applicants will work on data science projects that involve
among others, the automatic synthesis of machine learning pipelines, explainability of learning models, and efficient pipeline execution.
Qualifications
The ideal candidate will meet the following requirements:
Degree in Computer Science or related technical fields.
Solid experience in programming
Experience in deploying/hosting on cloud platforms
Proven experience in building reusable code and libraries for future use
Evidence of an ability to work as part of a distributed team

To apply, please submit your CV to ann.messinger@nyu.edu",https://www.indeed.com/jobs?q=Data+Science&l=New+York%2C+NY&start=326
9,Data Science/Machine Learning Software Engineer,JP Morgan Chase,"Our Asset and Wealth Management division is driven by innovators like you who are driven to create technology solutions that make us work more efficiently and help our businesses grow. It’s our mission to efficiently take care of our clients’ wealth, helping them get, and remain properly invested. Across 27 cities, our team of 4,600 agile technologists thrive in a cloud-native environment that values continuous learning using a data-centric approach in developing innovative technology solutions.

We are building the #1 Asset Management Technology platform in the world and we need exceptional, motivated, and world-class talent to join the Portfolio Core Technology team at JP Morgan Asset Management. This role is primarily focused on data science / machine learning. However, you are expected to be versatile and be able to own / implement a use case end-to-end, including compute and data layers; and even lightweight UI prototype to test/validate your model. You must have a passion for writing and testing high quality code.

Job Description:


You will use analytics and machine learning techniques to improve data quality. The goal is to replace thousands of inference rules that are currently coded and maintained to check for data quality issues.
You will develop an ML-based framework that helps reconcile data from multiple data providers with their own respective meta-data and mnemonics. The data reconciliation framework needs to understand the semantics of trade and instrument lifecycle and also temporal aspects of the attributes being compared.
We have hundreds of service providers that provide various services to Asset Management business. You will help develop a “scorecard” based on the QoS (quality of service) provided by each service provider. You will help develop a framework that captures metrics and then calculates an aggregated score based on various parameters.
For certain key measures or calculations that we show to our users, we want to assign a “confidence measure” towards the accuracy of such numbers with associated explanation (through generated text). You will work on an algorithm to not only calculate such confidence measure but you will also work on the data model design for storing and retrieving such data points efficiently.
You will write test cases using TDD/BDD approach with emphasis on high maintainability.
You will participate in code review sessions - peer reviews and group reviews. You will provide code review sign-off for your peer’s code.
You will demonstrate scalability of your models/algorithms using mock testing frameworks and other tools.
Technical documentation of your algorithm / models
Implementing logging, auditability, security, and monitoring features.
You should be able to build lightweight user interface using Angular or React.


Qualifications:

MUST: At least a BS degree in Computer Science from a reputed university/college. MS or PhD in Computer Science preferred. Can consider non-CS degrees if there is strong relevant experience.
MUST: Deep knowledge and expertise in Python programming - you should rate yourself 8 out of 10 or higher and be able to demonstrate during the hiring process.
Experience programming in Java is a huge plus as we will be writing services in Java but exposed via Rest API. If you have expertise in another language like C# or C++ or Scala and you will be willing to learn Java then that will work too. Exposure to R/Matlab is a plus.
MUST: Experience working through entire lifecycle of at least one large complex application build-out and delivery for either a large financial organization or a top-class technology product team. Your ML / data science project must be in production for at least 1 year.
2-5 years of experience in the role of software engineer. Experience building a truly distributed architecture based system, especially involving large data volumes and real-time distribution will be huge plus.
Knowledge of CI/CD, DevOps tool chain, and a test-driven approach to agile delivery is expected.
Experience with implementing middle-tier data caching solutions (e.g. Gemfire or Apache Ignite) and/or designing/delivering messaging-based solutions (e.g. Kafka) is a plus.
Knowledge of modern architectures based on microservices, REST APIs, NoSQL stores (e.g. Cassandra), and event-based architecture will be key.",https://www.indeed.com/jobs?q=Data+Science&l=New+York%2C+NY&start=326
