industry,skills,title,job_id
Marketing and Advertising,Python (Programming Language),"  Data Scientist
",LI1
Marketing and Advertising,Data Science,"  Data Scientist
",LI1
Marketing and Advertising,Artificial Neural Networks,"  Data Scientist
",LI1
Marketing and Advertising,Deep Learning,"  Data Scientist
",LI1
Marketing and Advertising,Google Cloud Platform (GCP),"  Data Scientist
",LI1
Marketing and Advertising,Machine Learning,"  Data Scientist
",LI1
Marketing and Advertising,TensorFlow,"  Data Scientist
",LI1
Marketing and Advertising,Algorithms,"  Data Scientist
",LI1
Marketing and Advertising,Marketing Analytics,"  Data Scientist
",LI1
Marketing and Advertising,Master's Degree,"  Data Scientist
",LI1
Wireless,Python (Programming Language),"  Data Scientist
",LI2
Wireless,Statistics,"  Data Scientist
",LI2
Wireless,Wireless Technologies,"  Data Scientist
",LI2
Wireless,Mining,"  Data Scientist
",LI2
Wireless,Employee Benefits Design,"  Data Scientist
",LI2
Wireless,Apache Spark,"  Data Scientist
",LI2
Wireless,Machine Learning,"  Data Scientist
",LI2
Wireless,Azure Data Lake,"  Data Scientist
",LI2
Wireless,Leadership,"  Data Scientist
",LI2
Wireless,Scala,"  Data Scientist
",LI2
Wireless,Bachelor's Degree,"  Data Scientist
",LI2
Financial Services,Python (Programming Language),"  Senior Data Scientist
",LI3
Financial Services,Statistics,"  Senior Data Scientist
",LI3
Financial Services,Due Diligence,"  Senior Data Scientist
",LI3
Financial Services,Communication,"  Senior Data Scientist
",LI3
Financial Services,Machine Learning,"  Senior Data Scientist
",LI3
Financial Services,Forecasting,"  Senior Data Scientist
",LI3
Financial Services,Strategy,"  Senior Data Scientist
",LI3
Financial Services,Economics,"  Senior Data Scientist
",LI3
Financial Services,Databases,"  Senior Data Scientist
",LI3
Financial Services,Testing,"  Senior Data Scientist
",LI3
Financial Services,Master's Degree,"  Senior Data Scientist
",LI3
Publishing,SQL,"  Data Scientist
",LI4
Publishing,Data Analysis,"  Data Scientist
",LI4
Publishing,Data Mining,"  Data Scientist
",LI4
Publishing,Data Science,"  Data Scientist
",LI4
Publishing,Statistics,"  Data Scientist
",LI4
Publishing,Organization Skills,"  Data Scientist
",LI4
Publishing,Report Writing,"  Data Scientist
",LI4
Publishing,Communication,"  Data Scientist
",LI4
Publishing,Segmentation,"  Data Scientist
",LI4
Publishing,Database Design,"  Data Scientist
",LI4
Publishing,Master's Degree,"  Data Scientist
",LI4
Management Consulting,Python (Programming Language),"  Data Science Consultant
",LI5
Management Consulting,Tableau,"  Data Science Consultant
",LI5
Management Consulting,Analytics,"  Data Science Consultant
",LI5
Management Consulting,Statistics,"  Data Science Consultant
",LI5
Management Consulting,Alteryx,"  Data Science Consultant
",LI5
